hour,gross_load_mw,net_load_mw
1,697.296332,671.404698
2,651.93995,628.38483
3,622.536666,599.983819
4,610.91813,588.261634
5,636.361413,612.982356
6,679.958878,654.848342
7,744.908056,716.121583
8,793.245789,753.459986
9,847.606606,708.855893
10,916.096562,675.013478
11,982.321368,650.46215
12,1018.893985,647.612675
13,1023.237702,650.664489
14,1046.720935,703.58317
15,1051.56095,767.659321
16,1055.216651,805.168631
17,1060.457004,901.769211
18,1022.964803,950.64074
19,1000.489696,944.733011
20,966.702811,911.263978
21,923.986279,871.361428
22,882.08424,836.343693
23,845.817049,808.612893
24,767.99396,737.873467
25,720.621589,694.353234
26,670.240603,646.169476
27,636.5099,613.493748
28,627.636597,604.826903
29,648.611912,625.163898
30,689.699561,665.091766
31,750.251553,722.992682
32,807.105048,768.295753
33,869.532465,746.976238
34,939.760612,717.009304
35,993.713349,702.257795
36,1024.827396,702.949838
37,1038.362507,687.675204
38,1045.244025,694.706148
39,1037.470607,734.228042
40,1041.682148,810.442631
41,1044.982448,890.567226
42,1020.843353,948.432598
43,1021.136248,964.083302
44,1010.662951,954.565284
45,965.166073,914.436573
46,914.123043,868.082913
47,860.771553,822.463559
48,789.115983,758.945554
49,672.422028,646.335313
50,626.247557,602.399884
51,595.592108,572.975072
52,584.10389,561.604826
53,597.918312,574.967173
54,627.996912,603.882585
55,673.451658,646.996559
56,709.661756,670.048961
57,760.938282,635.418549
58,826.501852,597.884477
59,878.465626,569.24265
60,914.853885,562.307906
61,936.199795,595.189753
62,945.911388,601.044083
63,965.683009,642.638702
64,972.152963,700.347736
65,986.164259,813.428724
66,974.944398,898.007844
67,981.962474,926.481999
68,977.921918,922.467292
69,936.509868,885.175893
70,879.824528,834.792539
71,805.42933,765.859112
72,727.324059,693.345773
73,627.519449,599.34853
74,588.461016,565.814864
75,566.334888,544.528797
76,564.054536,541.938497
77,604.09289,580.807823
78,685.751299,660.07348
79,799.036281,768.57793
80,847.025998,805.323711
81,883.280234,748.282922
82,935.341908,695.059428
83,981.775359,663.978645
84,999.813487,635.230201
85,1021.489793,633.903566
86,1027.776018,666.540219
87,1036.806831,713.146024
88,1027.298145,761.562387
89,1020.543968,848.287595
90,995.693992,920.793818
91,993.2563,935.48885
92,994.434541,936.479166
93,937.446467,884.219552
94,858.874605,811.642395
95,779.260103,738.602833
96,698.462639,664.212664
97,625.546413,595.955049
98,582.05662,556.927184
99,559.415063,536.681404
100,556.194838,533.334214
101,594.355216,570.474188
102,673.223733,646.689544
103,788.018571,756.689101
104,838.562683,792.743241
105,873.459369,731.66493
106,920.155964,674.5703
107,969.465762,647.119311
108,983.79188,614.159598
109,1007.842593,638.011257
110,1011.352016,659.202085
111,1020.64421,677.959502
112,1008.692385,744.192062
113,1008.106115,834.150237
114,982.559128,903.66519
115,987.257702,929.881089
116,980.05122,922.412109
117,923.844327,870.71909
118,849.412044,801.531509
119,776.42399,734.523588
120,694.056825,660.311346
121,639.295856,613.365659
122,598.513589,574.98644
123,572.036494,549.400572
124,570.064929,547.247195
125,611.010372,587.043124
126,694.792485,668.261821
127,811.372122,780.036667
128,859.667102,816.146655
129,883.297418,747.200532
130,930.983566,687.392886
131,979.988862,653.081432
132,994.626905,618.088962
133,1018.201951,633.031376
134,1024.700449,656.531441
135,1045.302473,709.74401
136,1036.583053,761.552908
137,1031.991629,851.940026
138,1001.895291,919.974629
139,994.208081,936.29897
140,989.006665,931.328738
141,934.681032,880.309947
142,862.570811,814.377338
143,796.342676,757.100294
144,707.431137,677.050947
145,635.357756,609.513427
146,592.147775,568.469009
147,566.88719,544.534346
148,565.286854,542.837948
149,607.853038,584.237011
150,685.301723,658.842881
151,799.721649,768.415518
152,844.787171,800.970962
153,877.761926,749.77312
154,921.547573,682.591993
155,969.448063,651.485422
156,987.665187,624.611738
157,1009.918044,634.102601
158,1014.365026,650.7202
159,1027.275366,685.359318
160,1018.235654,736.832678
161,1019.2387,834.366218
162,992.864602,909.958571
163,984.163877,926.533767
164,981.552323,922.785404
165,930.525955,875.767775
166,855.369855,807.867831
167,784.170772,743.950553
168,703.418313,668.76313
169,681.535773,653.126903
170,637.690741,614.114036
171,612.638181,589.891872
172,610.172126,587.34608
173,652.914595,629.031294
174,731.448144,705.271242
175,841.662433,810.93903
176,897.41289,853.638176
177,932.170049,791.317554
178,982.252233,747.806106
179,1027.78584,711.629136
180,1053.362811,693.909496
181,1070.678035,691.506836
182,1084.156393,706.526694
183,1094.100981,744.207694
184,1096.113233,815.273084
185,1083.558838,905.697313
186,1041.195608,956.570376
187,1023.642756,966.258665
188,1002.435526,944.729834
189,952.174835,898.455852
190,895.625259,848.320611
191,838.130982,797.706054
192,761.743748,726.860593
193,659.912634,632.991836
194,612.539479,588.674252
195,579.583318,556.71217
196,572.850177,550.105282
